tooth_id,mmr_x,mmr_y,dmr_x,dmr_y,centroid_x,centroid_y,anc_x,anc_y
R31,523,645,580,668,552,634,554,666
R32,608,640,676,619,625,608,643,634
R33,680,589,756,545,697,549,730,572
R34,743,519,783,429,758,471,792,484
R35,781,415,820,320,798,362,843,376
R36,821,308,849,165,839,229,881,254
R37,861,131,880,14,873,72,897,80
L41,509,652,422,674,470,641,470,669
L42,424,656,340,627,392,624,380,648
L43,346,601,273,547,322,565,294,582
L44,280,518,227,443,264,474,235,490
L45,233,421,191,334,224,372,185,388
L46,187,326,142,179,174,245,121,270
L47,136,153,101,25,126,83,87,98
